title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;category;is_portable;is_exclusive
#IDARB;Xbox One;Other Ocean Interactive;2015-01-30;77.0;31;23;8;0;70.0;21;17;3;1;Other Ocean Interactive;;;;;;;75-89;0;1
#KILLALLZOMBIES;PlayStation 4;Beatshapers;2014-10-28;63.0;6;0;6;0;66.99;2;2;0;0;Beatshapers;;;;;;;50-74;0;0
#KILLALLZOMBIES;Xbox One;Digerati Distribution;2016-08-10;53.0;9;0;6;3;0.0;1;0;0;1;Beatshapers;;;;;;;50-74;0;0
'Splosion Man;Xbox 360;Twisted Pixel Games;2009-07-22;84.0;52;48;4;0;78.01;16;14;1;1;Twisted Pixel Games;Action, Platformer, General, 2D;1-4;E10+;;;;75-89;0;1
'n Verlore Verstand;Xbox One;Skobbejak Games;2017-04-21;57.0;4;0;4;0;0.0;0;0;0;0;Skobbejak Games;Adventure, First-Person, 3D;No Online Multiplayer;E;;;;50-74;0;0
.detuned;PlayStation 3;Sony Interactive Entertainment;2009-10-15;46.0;9;0;4;5;36.99;16;0;4;12;.theprodukkt;Action, Rhythm, Music, Miscellaneous;No Online Multiplayer;E;;;;50-;0;1
.hack//G.U. Last Recode;PC;Bandai Namco Games;2017-11-03;69.0;7;3;4;0;71.99;5;4;0;1;CyberConnect2;Compilation, Miscellaneous;No Online Multiplayer;T;;;;50-74;0;0
.hack//G.U. Last Recode;PlayStation 4;Bandai Namco Games;2017-11-03;76.0;21;14;7;0;78.01;6;6;0;0;CyberConnect2;Compilation, Miscellaneous;No Online Multiplayer;T;;;;75-89;0;0
.hack//G.U. vol. 1//Rebirth;PlayStation 2;Bandai Namco Games;2006-10-24;69.0;21;8;13;0;81.02;4;2;1;1;CyberConnect2;Action RPG, Role-Playing;No Online Multiplayer;T;;;;50-74;0;1
.hack//G.U. vol. 2//Reminisce;PlayStation 2;Bandai Namco Games;2007-05-08;61.0;21;3;17;1;82.97;1;1;0;0;CyberConnect2;Action RPG, Role-Playing;No Online Multiplayer;T;;;;50-74;0;1
.hack//G.U. vol. 3//Redemption;PlayStation 2;Bandai Namco Games;2007-09-10;60.0;15;3;10;2;85.0;2;2;0;0;CyberConnect2;Action RPG, Role-Playing;No Online Multiplayer;T;;;;50-74;0;1
.hack//Infection Part 1;PlayStation 2;Bandai;2003-02-10;75.0;35;23;12;0;82.97;35;30;4;1;CyberConnect2;Action RPG, Role-Playing;No Online Multiplayer;T;;;;75-89;0;1
