title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
Azure Snake;3DS;RandomSpin;Jan 24, 2019;;;;;;tbd;;;;;RandomSpin;;No Online Multiplayer;;;;;https://www.metacritic.com/game/3ds/azure-snake
Dragon's Wrath;3DS;Gamers Digital;Jan 17, 2019;;;;;;tbd;;;;;Codeglue;Action, General;No Online Multiplayer;E10+;;;;https://www.metacritic.com/game/3ds/dragons-wrath
Phasmophobia: Hall of Specters 3D;3DS;In-D Gaming;Jan 17, 2019;;;;;;tbd;;;;;In-D Gaming;Action, General;No Online Multiplayer;T;;;;https://www.metacritic.com/game/3ds/phasmophobia-hall-of-specters-3d
Operation COBRA;3DS;Bidement Entertainment;Jan 11, 2019;;;;;;tbd;2;2;0;0;StickBit;Action, Shooter, First-Person, Arcade;No Online Multiplayer;T;;;;https://www.metacritic.com/game/3ds/operation-cobra
Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey;3DS;Nintendo;Jan 11, 2019;84;26;25;1;0;8.7;5;5;0;0;Nintendo, Alphadream Corporation;Role-Playing, Japanese-Style;No Online Multiplayer;E;Shunsuke Kobayashi;;;https://www.metacritic.com/game/3ds/mario-luigi-bowsers-inside-story-+-bowser-jrs-journey
PixelMaker Studio;3DS;Nostatic Software;Nov 29, 2018;;;;;;tbd;;;;;Nostatic Software;;No Online Multiplayer;;;;;https://www.metacritic.com/game/3ds/pixelmaker-studio
RTO 2;3DS;nuGAME;Nov 22, 2018;;;;;;tbd;;;;;nuGAME;Action Adventure, Survival;No Online Multiplayer;E10+;;;;https://www.metacritic.com/game/3ds/rto-2
Japanese Rail Sim 3D 5 types of trains;3DS;Sonic Powered;Nov 22, 2018;;;;;;tbd;;;;;Sonic Powered;;No Online Multiplayer;;;;;https://www.metacritic.com/game/3ds/japanese-rail-sim-3d-5-types-of-trains
Pinball Breakout 2;3DS;nuGAME;Nov 15, 2018;;;;;;tbd;;;;;nuGAME;;No Online Multiplayer;;;;;https://www.metacritic.com/game/3ds/pinball-breakout-2
Cube Creator DX;3DS;Big John Games;Nov  8, 2018;;;;;;tbd;;;;;Arc System Works;;;;;;;https://www.metacritic.com/game/3ds/cube-creator-dx
Insect Planet TD;3DS;RandomSpin;Oct 25, 2018;;;;;;tbd;0;0;0;0;RandomSpin;;No Online Multiplayer;;;;;https://www.metacritic.com/game/3ds/insect-planet-td
Petite Zombies;3DS;RandomSpin;Oct 18, 2018;;;;;;tbd;;;;;RandomSpin;;No Online Multiplayer;;;;;https://www.metacritic.com/game/3ds/petite-zombies
Luigi's Mansion;3DS;Nintendo;Oct 12, 2018;74;43;26;17;0;8.2;16;12;4;0;Nintendo, GREZZO;Action Adventure, General;No Online Multiplayer;E;;;;https://www.metacritic.com/game/3ds/luigis-mansion
Jake Hunter Detective Story: Ghost of the Dusk;3DS;Aksys Games;Sep 28, 2018;65;6;1;5;0;7.2;1;1;0;0;Arc System Works;;;;;;;https://www.metacritic.com/game/3ds/jake-hunter-detective-story-ghost-of-the-dusk
Yo-kai Watch Blasters: Moon Rabbit Crew;3DS;Nintendo;Sep 27, 2018;;;;;;tbd;0;0;0;0;Level 5;;;;;;;https://www.metacritic.com/game/3ds/yo-kai-watch-blasters-moon-rabbit-crew
Yo-kai Watch Blasters: Red Cat Corps;3DS;Nintendo;Sep  7, 2018;67;19;5;12;2;6.5;2;1;0;1;Level 5;Action, Beat-'Em-Up, 3D;No Online Multiplayer;E10+;;;;https://www.metacritic.com/game/3ds/yo-kai-watch-blasters-red-cat-corps
Yo-kai Watch Blasters: White Dog Squad;3DS;Nintendo;Sep  7, 2018;67;17;3;12;2;6.4;0;0;0;0;Level 5;;;;;;;https://www.metacritic.com/game/3ds/yo-kai-watch-blasters-white-dog-squad
