title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
NHL 2K2;Dreamcast;Sega;Feb 14, 2002;80;11;8;3;0;7.8;3.0;2.0;0.0;1.0;Treyarch;;;;;;;https://www.metacritic.com/game/dreamcast/nhl-2k2
Conflict Zone;Dreamcast;Ubisoft;Dec 15, 2001;55;4;1;2;1;7.4;2.0;2.0;0.0;0.0;MASA Group;;;;;;;https://www.metacritic.com/game/dreamcast/conflict-zone
Shenmue II;Dreamcast;SegaSoft;Nov 23, 2001;88;9;9;0;0;9.1;52.0;49.0;2.0;1.0;Sega AM2;Action Adventure, Modern;;T;;Eiji Ogawa;;https://www.metacritic.com/game/dreamcast/shenmue-ii
Fatal Fury: Mark of the Wolves;Dreamcast;Agetec Inc.;Nov 23, 2001;86;6;6;0;0;8.0;6.0;6.0;0.0;0.0;SNK;;;;;;;https://www.metacritic.com/game/dreamcast/fatal-fury-mark-of-the-wolves
Bomberman Online;Dreamcast;Sega;Oct 30, 2001;80;11;9;2;0;8.3;2.0;2.0;0.0;0.0;Hudson;;;;;;;https://www.metacritic.com/game/dreamcast/bomberman-online
Tennis 2K2;Dreamcast;Sega;Oct 24, 2001;90;13;13;0;0;7.8;6.0;5.0;1.0;0.0;Hitmaker;;;;Kats Sato;;;https://www.metacritic.com/game/dreamcast/tennis-2k2
NBA 2K2;Dreamcast;Sega;Oct 24, 2001;93;12;11;1;0;7.3;4.0;4.0;0.0;0.0;Visual Concepts;;;;;;;https://www.metacritic.com/game/dreamcast/nba-2k2
Alone in the Dark: The New Nightmare;Dreamcast;Infogrames;Sep 24, 2001;75;11;7;4;0;7.8;3.0;1.0;2.0;0.0;Darkworks;;;;;;;https://www.metacritic.com/game/dreamcast/alone-in-the-dark-the-new-nightmare
Phantasy Star Online Ver. 2;Dreamcast;Sega;Sep 24, 2001;80;10;8;2;0;8.6;9.0;8.0;0.0;1.0;Sonic Team;;;;Takao Miyoshi;;;https://www.metacritic.com/game/dreamcast/phantasy-star-online-ver-2
NFL 2K2;Dreamcast;Sega;Sep 19, 2001;90;12;11;1;0;7.9;3.0;3.0;0.0;0.0;Visual Concepts;;;;;;;https://www.metacritic.com/game/dreamcast/nfl-2k2
Heavy Metal: Geomatrix;Dreamcast;Capcom;Sep 13, 2001;58;10;3;3;4;5.8;1.0;1.0;0.0;0.0;Capcom;;;;;;;https://www.metacritic.com/game/dreamcast/heavy-metal-geomatrix
Ooga Booga;Dreamcast;Sega;Sep 13, 2001;81;11;8;3;0;8.5;3.0;3.0;0.0;0.0;Visual Concepts;;;;;;;https://www.metacritic.com/game/dreamcast/ooga-booga
Mat Hoffman's Pro BMX;Dreamcast;Activision;Sep 11, 2001;75;9;5;4;0;tbd;1.0;1.0;0.0;0.0;Runecraft;;;;;;;https://www.metacritic.com/game/dreamcast/mat-hoffmans-pro-bmx
NCAA College Football 2K2;Dreamcast;Sega;Aug 29, 2001;78;10;8;2;0;8.2;8.0;7.0;1.0;0.0;Visual Concepts;;;;;;;https://www.metacritic.com/game/dreamcast/ncaa-college-football-2k2
Sega Bass Fishing 2;Dreamcast;Sega;Aug 21, 2001;76;8;6;1;1;8.3;3.0;3.0;0.0;0.0;Wow Entertainment;;;;;;;https://www.metacritic.com/game/dreamcast/sega-bass-fishing-2
Virtua Athlete 2000;Dreamcast;Agetec Inc.;Aug 10, 2001;61;17;3;13;1;7.3;0.0;0.0;0.0;0.0;Hitmaker;;;;;;;https://www.metacritic.com/game/dreamcast/virtua-athlete-2000
Alien Front Online;Dreamcast;Sega;Aug  9, 2001;76;11;7;4;0;8.2;1.0;1.0;0.0;0.0;Sega;;;;;;;https://www.metacritic.com/game/dreamcast/alien-front-online
Dragon Riders: Chronicles of Pern;Dreamcast;Ubisoft;Aug  9, 2001;46;5;0;3;2;tbd;2.0;1.0;0.0;1.0;Ubisoft;;;;;;;https://www.metacritic.com/game/dreamcast/dragon-riders-chronicles-of-pern
Razor Freestyle Scooter;Dreamcast;Crave;Aug  8, 2001;66;5;2;2;1;5.0;5.0;2.0;1.0;2.0;Titanium Studios;;;;;;;https://www.metacritic.com/game/dreamcast/razor-freestyle-scooter
The Last Blade 2: Heart of the Samurai;Dreamcast;Agetec Inc.;Aug  6, 2001;77;7;4;3;0;7.7;3.0;3.0;0.0;0.0;SNK;;;;;;;https://www.metacritic.com/game/dreamcast/the-last-blade-2-heart-of-the-samurai
Death Crimson OX;Dreamcast;Sammy Studios;Aug  5, 2001;46;7;0;2;5;4.5;4.0;0.0;2.0;2.0;Ecole;;;;;;;https://www.metacritic.com/game/dreamcast/death-crimson-ox
Floigan Bros. Episode 1;Dreamcast;Sega;Jul 30, 2001;64;11;4;5;2;7.2;0.0;0.0;0.0;0.0;Visual Concepts;;;;;;;https://www.metacritic.com/game/dreamcast/floigan-bros-episode-1
Outtrigger;Dreamcast;Sega;Jul 24, 2001;73;13;7;5;1;8.3;2.0;2.0;0.0;0.0;Sega AM2;;;;;;;https://www.metacritic.com/game/dreamcast/outtrigger
Soldier of Fortune;Dreamcast;Crave;Jul 24, 2001;70;11;3;7;1;8.7;4.0;4.0;0.0;0.0;Runecraft;;;;;;;https://www.metacritic.com/game/dreamcast/soldier-of-fortune
Sports Jam;Dreamcast;Agetec Inc.;Jul 18, 2001;64;7;1;5;1;tbd;0.0;0.0;0.0;0.0;Wow Entertainment;;;;;;;https://www.metacritic.com/game/dreamcast/sports-jam
Atari Anniversary Edition;Dreamcast;Infogrames;Jul  2, 2001;60;7;2;2;3;tbd;0.0;0.0;0.0;0.0;Digital Eclipse;;;;;;;https://www.metacritic.com/game/dreamcast/atari-anniversary-edition
Stupid Invaders;Dreamcast;Ubisoft;Jun 28, 2001;64;6;1;4;1;6.8;0.0;0.0;0.0;0.0;Xilam;;;;;;;https://www.metacritic.com/game/dreamcast/stupid-invaders
Sonic Adventure 2;Dreamcast;Sega;Jun 18, 2001;89;18;16;2;0;8.5;96.0;76.0;9.0;11.0;Sonic Team;;;;;;;https://www.metacritic.com/game/dreamcast/sonic-adventure-2
Worms World Party;Dreamcast;Titus Software;Jun  3, 2001;79;10;7;3;0;8.1;3.0;3.0;0.0;0.0;Team 17;;;;;;;https://www.metacritic.com/game/dreamcast/worms-world-party
Max Steel;Dreamcast;Mattel;May 30, 2001;56;5;1;2;2;7.6;0.0;0.0;0.0;0.0;Treyarch;;;;;;;https://www.metacritic.com/game/dreamcast/max-steel
Crazy Taxi 2;Dreamcast;Sega;May 28, 2001;82;18;16;2;0;8.2;6.0;4.0;1.0;1.0;Hitmaker;;;;;;;https://www.metacritic.com/game/dreamcast/crazy-taxi-2
18 Wheeler: American Pro Trucker;Dreamcast;Sega;May 22, 2001;67;14;3;10;1;6.8;8.0;5.0;2.0;1.0;Sega;;;;;;;https://www.metacritic.com/game/dreamcast/18-wheeler-american-pro-trucker
Project Justice;Dreamcast;Capcom;May 16, 2001;80;10;7;3;0;8.7;23.0;23.0;0.0;0.0;Capcom;;;;;;;https://www.metacritic.com/game/dreamcast/project-justice
Giga Wing 2;Dreamcast;Capcom;May 16, 2001;70;9;3;6;0;8.2;5.0;4.0;0.0;1.0;Takumi Corporation;;;;;;;https://www.metacritic.com/game/dreamcast/giga-wing-2
Confidential Mission;Dreamcast;Sega;May 14, 2001;70;18;8;10;0;8.2;3.0;3.0;0.0;0.0;Hitmaker;;;;;;;https://www.metacritic.com/game/dreamcast/confidential-mission
The King of Fighters '99: Evolution;Dreamcast;Agetec Inc.;May 10, 2001;67;4;1;3;0;8.7;9.0;7.0;2.0;0.0;SNK;Action, Fighting, 2D;1-2;T;;;;https://www.metacritic.com/game/dreamcast/the-king-of-fighters-99-evolution
Mars Matrix;Dreamcast;Capcom;Apr 30, 2001;78;15;12;3;0;8.1;2.0;2.0;0.0;0.0;Takumi Corporation;;;;;;;https://www.metacritic.com/game/dreamcast/mars-matrix
Spider-Man;Dreamcast;Activision;Apr 19, 2001;80;14;11;3;0;8.0;1.0;1.0;0.0;0.0;Treyarch;;;;;;;https://www.metacritic.com/game/dreamcast/spider-man
Illbleed;Dreamcast;AIA;Apr 16, 2001;61;10;0;10;0;8.4;16.0;12.0;3.0;1.0;Crazy Games;;;;;;;https://www.metacritic.com/game/dreamcast/illbleed
Bangai-O;Dreamcast;Conspiracy Entertainment;Mar 21, 2001;87;12;12;0;0;8.1;8.0;7.0;1.0;0.0;Treasure;Action, Shooter, Scrolling;1 Player;E;;;;https://www.metacritic.com/game/dreamcast/bangai-o
Unreal Tournament;Dreamcast;Infogrames;Mar 13, 2001;90;17;17;0;0;8.8;6.0;6.0;0.0;0.0;Secret Level;;;;;;;https://www.metacritic.com/game/dreamcast/unreal-tournament
Daytona USA;Dreamcast;Sega;Mar 12, 2001;86;17;15;2;0;8.7;3.0;3.0;0.0;0.0;Amusement Vision;;;;;;;https://www.metacritic.com/game/dreamcast/daytona-usa
Surf Rocket Racers;Dreamcast;Crave;Feb 28, 2001;55;9;0;7;2;tbd;0.0;0.0;0.0;0.0;CRI;;;;;;;https://www.metacritic.com/game/dreamcast/surf-rocket-racers
Record of Lodoss War;Dreamcast;Conspiracy Entertainment;Feb 26, 2001;76;10;4;6;0;8.1;4.0;4.0;0.0;0.0;Neverland;;;;;;;https://www.metacritic.com/game/dreamcast/record-of-lodoss-war
KAO the Kangaroo;Dreamcast;Titus Software;Feb 13, 2001;63;8;2;5;1;6.8;1.0;0.0;1.0;0.0;X-Ray Interactive;;;;;;;https://www.metacritic.com/game/dreamcast/kao-the-kangaroo
Ducati World Racing Challenge;Dreamcast;Acclaim;Feb 13, 2001;40;8;0;3;5;tbd;0.0;0.0;0.0;0.0;Attention To Detail;;;;;;;https://www.metacritic.com/game/dreamcast/ducati-world-racing-challenge
NBA Hoopz;Dreamcast;Midway;Feb 13, 2001;65;10;1;8;1;tbd;0.0;0.0;0.0;0.0;Eurocom Entertainment Software;;;;;;;https://www.metacritic.com/game/dreamcast/nba-hoopz
Charge 'N Blast;Dreamcast;Xicat Interactive;Feb  7, 2001;68;9;3;5;1;tbd;;;;;Xicat Interactive;;;;;;;https://www.metacritic.com/game/dreamcast/charge-n-blast
