title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
Crazy Train;;Floor 84 Studio;Jan 28, 2016;;;;;;8.8;1;0;1;0;Floor 84 Studio;;;;;;;https://www.metacritic.com/game/ds/crazy-train
Disney Two Pack - Frozen: Olaf's Quest + Big Hero 6: Battle in the Bay;;GameMill Entertainment;Oct 20, 2015;;;;;;tbd;0;0;0;0;1st Playable Productions, GameMill Entertainment;;;;;;;https://www.metacritic.com/game/ds/disney-two-pack---frozen-olafs-quest-+-big-hero-6-battle-in-the-bay
G.G Series: Score Attacker;;Genterprise;Jul 16, 2015;;;;;;tbd;1;0;1;0;Genterprise;;;;;;;https://www.metacritic.com/game/ds/gg-series-score-attacker
G.G Series: Vector;;Genterprise;Jul 16, 2015;;;;;;tbd;;;;;Genterprise;;;;;;;https://www.metacritic.com/game/ds/gg-series-vector
G.G Series: The Last Knight;;Genterprise;Jun 25, 2015;;;;;;tbd;;;;;Genterprise;;;;;;;https://www.metacritic.com/game/ds/gg-series-the-last-knight
G.G Series: Great Whip Adventure;;Genterprise;Jun 25, 2015;;;;;;tbd;;;;;Genterprise;;;;;;;https://www.metacritic.com/game/ds/gg-series-great-whip-adventure
G.G Series: Nyokki;;Genterprise;Jun 25, 2015;;;;;;tbd;;;;;Genterprise;;;;;;;https://www.metacritic.com/game/ds/gg-series-nyokki
G.G Series: Run & Strike;;Genterprise;Jun 25, 2015;;;;;;tbd;;;;;Genterprise;;;;;;;https://www.metacritic.com/game/ds/gg-series-run-strike
G.G Series: Air Pinball Hockey;;Genterprise;Jun 25, 2015;;;;;;tbd;;;;;Genterprise;;;;;;;https://www.metacritic.com/game/ds/gg-series-air-pinball-hockey
G.G Series: Energy Chain;;Genterprise;Jun 25, 2015;;;;;;tbd;;;;;Suzak;;;;;;;https://www.metacritic.com/game/ds/gg-series-energy-chain
G.G Series: Vertex;;Genterprise;Jun 25, 2015;;;;;;tbd;;;;;Suzak;;;;;;;https://www.metacritic.com/game/ds/gg-series-vertex
G.G Series: Drilling Attack!!;;Genterprise;Jun 25, 2015;;;;;;tbd;;;;;Suzak;;;;;;;https://www.metacritic.com/game/ds/gg-series-drilling-attack!!
G.G Series: Throw Out;;Genterprise;Jun 25, 2015;;;;;;tbd;;;;;Suzak;;;;;;;https://www.metacritic.com/game/ds/gg-series-throw-out
G.G Series: Shadow Army;;Genterprise;Jun 11, 2015;;;;;;tbd;;;;;Genterprise;;;;;;;https://www.metacritic.com/game/ds/gg-series-shadow-army
