title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
Madden NFL 08;;EA Sports;Aug 14, 2007;75;4;3;1;0;7.9;1;1;0;0;EA Tiburon;Sports, Traditional, Football, Sim;2  Online;E;;;;https://www.metacritic.com/game/gamecube/madden-nfl-08
Ratatouille;;THQ;Jun 26, 2007;60;7;0;7;0;5.8;2;0;0;2;Asobo Studio;Action, Platformer, 3D;1-4;E;;;;https://www.metacritic.com/game/gamecube/ratatouille
Surf's Up;;Ubisoft;Jun  1, 2007;;;;;;tbd;1;1;0;0;Ubisoft Montreal;Sports, Alternative, Surfing;1-4;E10+;;;;https://www.metacritic.com/game/gamecube/surfs-up
Backyard Sports Baseball 2007;;Atari;Apr  3, 2007;;;;;;tbd;;;;;Humongous Entertainment;Sports, Traditional, Baseball, Arcade;1-2;E;;;;https://www.metacritic.com/game/gamecube/backyard-sports-baseball-2007
Disney's Meet the Robinsons;;Disney Interactive Studios;Mar 27, 2007;68;5;1;4;0;tbd;;;;;Avalanche Software;Action Adventure, Sci-Fi;1 Player;E10+;;;;https://www.metacritic.com/game/gamecube/disneys-meet-the-robinsons
TMNT;;Ubisoft;Mar 20, 2007;63;4;1;3;0;tbd;1;0;1;0;Ubisoft Montreal;Action, Beat-'Em-Up;1 Player;E10+;;;;https://www.metacritic.com/game/gamecube/tmnt
Zatch Bell! Mamodo Fury;;Namco Bandai Games America;Dec 12, 2006;44;4;0;1;3;6.0;2;1;1;0;Mechanic Arms;Action, Fighting, 3D;1-4;T;;;;https://www.metacritic.com/game/gamecube/zatch-bell!-mamodo-fury
The Legend of Zelda: Twilight Princess;;Nintendo;Dec 11, 2006;96;16;16;0;0;9.0;112;87;15;10;Nintendo;Action Adventure, Fantasy;1 Player;T;Eiji Aonuma;;;https://www.metacritic.com/game/gamecube/the-legend-of-zelda-twilight-princess
Shrek Smash n' Crash Racing;;Activision;Nov 21, 2006;;;;;;2.8;6;1;1;4;Activision;Action, General;1-2;E;;;;https://www.metacritic.com/game/gamecube/shrek-smash-n-crash-racing
Tomb Raider: Legend;;Eidos Interactive;Nov 14, 2006;78;6;5;1;0;7.8;3;0;3;0;Crystal Dynamics;Action Adventure, Modern;1 Player;T;;;;https://www.metacritic.com/game/gamecube/tomb-raider-legend
Bionicle Heroes;;Eidos Interactive;Nov 14, 2006;51;4;0;4;0;5.2;2;1;0;1;Traveller's Tales;Action Adventure, Sci-Fi;1 Player;E10+;Jon Burton, Jon Burton;;;https://www.metacritic.com/game/gamecube/bionicle-heroes
Happy Feet;;Warner Bros. Interactive Entertainment;Nov 14, 2006;;;;;;8.6;6;4;1;1;Artificial Mind and Movement;Adventure, General;1-2;E;;;;https://www.metacritic.com/game/gamecube/happy-feet
