title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
The Bee Game;GBA;Midway;Nov  5, 2007;;;;;;tbd;2.0;2.0;0.0;0.0;Midway;;;;;;;https://www.metacritic.com/game/game-boy-advance/the-bee-game
Nicktoons: Attack of the Toybots;GBA;THQ;Oct 23, 2007;;;;;;7.3;1.0;1.0;0.0;0.0;Firemint;;;;;;;https://www.metacritic.com/game/game-boy-advance/nicktoons-attack-of-the-toybots
SpongeBob's Atlantis SquarePantis;GBA;THQ;Oct 23, 2007;;;;;;tbd;0.0;0.0;0.0;0.0;THQ;;;;;;;https://www.metacritic.com/game/game-boy-advance/spongebobs-atlantis-squarepantis
The Legend of Spyro: The Eternal Night;GBA;Sierra Entertainment;Oct  2, 2007;80.0;4.0;4.0;0.0;0.0;8.3;5.0;5.0;0.0;0.0;Amaze Entertainment;;;;;;;https://www.metacritic.com/game/game-boy-advance/the-legend-of-spyro-the-eternal-night
Bratz: The Movie;GBA;THQ;Sep 24, 2007;;;;;;tbd;0.0;0.0;0.0;0.0;Disney Interactive Studios;;;;;;;https://www.metacritic.com/game/game-boy-advance/bratz-the-movie
Harry Potter and the Order of the Phoenix;GBA;EA Games;Jul 10, 2007;;;;;;5.0;1.0;1.0;0.0;0.0;EA Games;Action Adventure, Fantasy;1 Player;E;;;;https://www.metacritic.com/game/game-boy-advance/harry-potter-and-the-order-of-the-phoenix
Ratatouille;GBA;THQ;Jun 26, 2007;65.0;4.0;0.0;4.0;0.0;tbd;1.0;1.0;0.0;0.0;Helixe;Action, Platformer, 2D;1 Player;E;;;;https://www.metacritic.com/game/game-boy-advance/ratatouille
Surf's Up;GBA;Ubisoft;May 30, 2007;;;;;;tbd;;;;;Ubisoft Quebec;Sports, Alternative, Surfing;1 Player;E;;;;https://www.metacritic.com/game/game-boy-advance/surfs-up
Major League Baseball 2K7;GBA;2K Sports;May 22, 2007;;;;;;tbd;;;;;Skyworks Technologies;Sports, Traditional, Baseball, Sim;1 Player;E;;;;https://www.metacritic.com/game/game-boy-advance/major-league-baseball-2k7
Shrek the Third;GBA;Activision;May 15, 2007;57.0;8.0;1.0;6.0;1.0;tbd;0.0;0.0;0.0;0.0;Vicarious Visions;Action, General;1 Player;E;;;;https://www.metacritic.com/game/game-boy-advance/shrek-the-third
Spider-Man 3;GBA;Activision;May  4, 2007;68.0;4.0;2.0;1.0;1.0;6.3;2.0;0.0;1.0;1.0;Vicarious Visions;Action, Platformer, 2D;1 Player;E10+;;;;https://www.metacritic.com/game/game-boy-advance/spider-man-3
Disney's Meet the Robinsons;GBA;Disney Interactive Studios;Mar 27, 2007;;;;;;tbd;0.0;0.0;0.0;0.0;Climax Group;Action Adventure, Sci-Fi;1 Player;E;;;;https://www.metacritic.com/game/game-boy-advance/disneys-meet-the-robinsons
TMNT;GBA;Ubisoft;Mar 20, 2007;80.0;7.0;5.0;2.0;0.0;6.7;2.0;2.0;0.0;0.0;Ubisoft Montreal;Action, Beat-'Em-Up;1 Player;E10+;;;;https://www.metacritic.com/game/game-boy-advance/tmnt
Drake & Josh;GBA;THQ;Mar 15, 2007;;;;;;8.0;3.0;2.0;1.0;0.0;Artificial Mind and Movement;Action, General;1 Player;E;;;;https://www.metacritic.com/game/game-boy-advance/drake-josh
Uno Free Fall;GBA;DSI Games;Mar  6, 2007;62.0;4.0;0.0;4.0;0.0;tbd;;;;;Black Lantern Studios;;;;;;;https://www.metacritic.com/game/game-boy-advance/uno-free-fall
Zoey 101;GBA;THQ;Mar  2, 2007;;;;;;tbd;;;;;Barking Lizards;;;;;;;https://www.metacritic.com/game/game-boy-advance/zoey-101
Ghost Rider;GBA;2K Games;Feb 13, 2007;;;;;;8.5;3.0;1.0;2.0;0.0;Magic Pockets;Action, General;1 Player;T;;;;https://www.metacritic.com/game/game-boy-advance/ghost-rider
F24: Stealth Fighter;GBA;Majesco Games;Feb 13, 2007;;;;;;tbd;;;;;Skyworks Technologies;Simulation, Flight, Modern Jet;1 Player;E10+;;;;https://www.metacritic.com/game/game-boy-advance/f24-stealth-fighter
Final Fantasy VI Advance;GBA;Nintendo;Feb  5, 2007;92.0;25.0;25.0;0.0;0.0;9.1;33.0;33.0;0.0;0.0;TOSE;Role-Playing, Console-style RPG;1-2;E10+;;;;https://www.metacritic.com/game/game-boy-advance/final-fantasy-vi-advance
Arthur and the Invisibles;GBA;Atari;Jan  9, 2007;;;;;;tbd;1.0;1.0;0.0;0.0;Mistic Software;Action Adventure, Fantasy;1 Player;E;;;;https://www.metacritic.com/game/game-boy-advance/arthur-and-the-invisibles
Back to Stone;GBA;O3 Entertainment;Dec 15, 2006;54.0;5.0;0.0;4.0;1.0;tbd;0.0;0.0;0.0;0.0;Hidden Floor;Role-Playing, Action RPG;1 Player;E;;;;https://www.metacritic.com/game/game-boy-advance/back-to-stone
Tom and Jerry Tales;GBA;Warner Bros. Interactive Entertainment;Dec  8, 2006;;;;;;tbd;1.0;0.0;1.0;0.0;Sensory Sweep;;;;;;;https://www.metacritic.com/game/game-boy-advance/tom-and-jerry-tales
Mazes of Fate;GBA;O3 Entertainment;Dec  6, 2006;65.0;15.0;3.0;10.0;2.0;tbd;2.0;1.0;0.0;1.0;Sabarasa Entertainment;Role-Playing, Console-style RPG;1 Player;T;Javier Otaegui;Andres Augspach, Ivan Kozicki;Juan Linietsky;https://www.metacritic.com/game/game-boy-advance/mazes-of-fate
Yggdra Union;GBA;Atlus Co.;Nov 21, 2006;77.0;8.0;6.0;2.0;0.0;8.8;2.0;2.0;0.0;0.0;Sting;Strategy, Turn-Based, Fantasy;1 Player;T;;;;https://www.metacritic.com/game/game-boy-advance/yggdra-union
March of the Penguins;GBA;DSI Games;Nov 20, 2006;44.0;4.0;0.0;1.0;3.0;tbd;1.0;0.0;0.0;1.0;SkyRiver Studios;Action, General;1 Player;E;;;;https://www.metacritic.com/game/game-boy-advance/march-of-the-penguins
Superman Returns: Fortress of Solitude;GBA;EA Games;Nov 20, 2006;;;;;;5.5;3.0;2.0;0.0;1.0;EA Tiburon;Action, Beat-'Em-Up;1 Player;E;;;;https://www.metacritic.com/game/game-boy-advance/superman-returns-fortress-of-solitude
Totally Spies! 2: Undercover;GBA;Atari;Nov 17, 2006;;;;;;tbd;;;;;Mistic Software;Action, General;1 Player;E10+;;;;https://www.metacritic.com/game/game-boy-advance/totally-spies!-2-undercover
Shrek Smash n' Crash Racing;GBA;Activision;Nov 15, 2006;;;;;;tbd;1.0;1.0;0.0;0.0;Torus Games;Driving, Racing, Arcade;1-2;E;;;;https://www.metacritic.com/game/game-boy-advance/shrek-smash-n-crash-racing
