title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
This War of Mine: Stories;iOS;11 bit studios;Mar 27, 2019;;;;;;tbd;;;;;11 bit studios;;;;;;;https://www.metacritic.com/game/ios/this-war-of-mine-stories
Game of Gods;iOS;Foursaken Media;Mar 21, 2019;;;;;;tbd;;;;;Foursaken Media;;;;;;;https://www.metacritic.com/game/ios/game-of-gods
Cure Hunters;iOS;Lucky Kat Studios;Mar 21, 2019;;;;;;tbd;;;;;Lucky Kat Studios;;;;;;;https://www.metacritic.com/game/ios/cure-hunters
Sprout: Idle Garden;iOS;Shallot Games, LLC.;Mar 12, 2019;;;;;;tbd;;;;;Shallot Games, LLC.;;;;;;;https://www.metacritic.com/game/ios/sprout-idle-garden
Scorcher;iOS;Radiangames;Mar  7, 2019;;;;;;tbd;;;;;Radiangames;;;;;;;https://www.metacritic.com/game/ios/scorcher
Avo!;iOS;Playdeo Limited;Mar  2, 2019;;;;;;tbd;;;;;Playdeo Limited;;;;;;;https://www.metacritic.com/game/ios/avo!
JackQuest;iOS;Crescent Moon Games;Feb 27, 2019;;;;;;tbd;;;;;Crescent Moon Games;;No Online Multiplayer;;;;;https://www.metacritic.com/game/ios/jackquest
Shieldwall Chronicles;iOS;Wave Light Games;Feb 22, 2019;;;;;;tbd;;;;;Wave Light Games;;No Online Multiplayer;;;;;https://www.metacritic.com/game/ios/shieldwall-chronicles
STAY: Are you there?;iOS;Plug In Digital;Feb 21, 2019;;;;;;tbd;;;;;Plug In Digital;;No Online Multiplayer;;;;;https://www.metacritic.com/game/ios/stay-are-you-there
Immortal Rogue;iOS;Kyle Barrett;Feb 20, 2019;85.0;4.0;4.0;0.0;0.0;tbd;0.0;0.0;0.0;0.0;Kyle Barrett;;Online Multiplayer;;;;;https://www.metacritic.com/game/ios/immortal-rogue
The Shapeshifting Detective;iOS;Wales Interactive Ltd.;Feb 20, 2019;;;;;;tbd;;;;;D'Avekki Studios Limited;;No Online Multiplayer;;;;;https://www.metacritic.com/game/ios/the-shapeshifting-detective
Guildmaster Story;iOS;WZO Games;Feb 19, 2019;;;;;;tbd;;;;;WZO Games;;No Online Multiplayer;;;;;https://www.metacritic.com/game/ios/guildmaster-story
Knights of the Card Table;iOS;Iron Horse Games LLC;Feb 13, 2019;;;;;;tbd;;;;;Iron Horse Games LLC;;No Online Multiplayer;;;;;https://www.metacritic.com/game/ios/knights-of-the-card-table
Linn: Path of Orchards;iOS;Crescent Moon Games;Feb 13, 2019;70.0;4.0;3.0;1.0;0.0;tbd;0.0;0.0;0.0;0.0;Crescent Moon Games;;No Online Multiplayer;;;;;https://www.metacritic.com/game/ios/linn-path-of-orchards
Noa Noa!;iOS;;;;;;;;tbd;;;;;;;;;;;;https://www.metacritic.com/game/ios/noa-noa!
Evolution: The Video Game;iOS;North Stars Digital Studios;Feb 12, 2019;;;;;;tbd;;;;;North Stars Digital Studios;;No Online Multiplayer;;;;;https://www.metacritic.com/game/ios/evolution-the-video-game
