title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
Pro Evolution Soccer 2013;PlayStation 2;Konami;Sep 25, 2012;;;;;;7.5;2;0;2;0;Konami;;;;;;;https://www.metacritic.com/game/playstation-2/pro-evolution-soccer-2013
FIFA Soccer 13;PlayStation 2;EA Sports;Sep 25, 2012;;;;;;2.9;4;1;1;2;Electronic Arts;;;;;;;https://www.metacritic.com/game/playstation-2/fifa-soccer-13
Major League Baseball 2K12;PlayStation 2;Take-Two Interactive;Mar  6, 2012;;;;;;tbd;1;0;1;0;Visual Concepts;;;;;;;https://www.metacritic.com/game/playstation-2/major-league-baseball-2k12
Pro Evolution Soccer 2012;PlayStation 2;Konami;Nov  8, 2011;;;;;;8.4;1;1;0;0;Konami;;;;;;;https://www.metacritic.com/game/playstation-2/pro-evolution-soccer-2012
NBA 2K12;PlayStation 2;2K Sports;Oct  4, 2011;;;;;;tbd;0;0;0;0;Virtuos;;;;;;;https://www.metacritic.com/game/playstation-2/nba-2k12
FIFA Soccer 12;PlayStation 2;Electronic Arts;Sep 27, 2011;;;;;;5.3;2;2;0;0;Electronic Arts;;;;;;;https://www.metacritic.com/game/playstation-2/fifa-soccer-12
Madden NFL 12;PlayStation 2;EA Sports;Aug 30, 2011;;;;;;tbd;1;0;0;1;EA Tiburon;;;;;;;https://www.metacritic.com/game/playstation-2/madden-nfl-12
WWE All Stars;PlayStation 2;THQ;Mar 29, 2011;;;;;;4.2;3;0;2;1;THQ;;;;;;;https://www.metacritic.com/game/playstation-2/wwe-all-stars
Major League Baseball 2K11;PlayStation 2;2K Sports;Mar  8, 2011;;;;;;tbd;;;;;Visual Concepts;;;;;;;https://www.metacritic.com/game/playstation-2/major-league-baseball-2k11
MLB 11: The Show;PlayStation 2;SCEA;Mar  8, 2011;;;;;;6.2;2;1;0;1;SCEA San Diego Studios;;;;;;;https://www.metacritic.com/game/playstation-2/mlb-11-the-show
Pro Evolution Soccer 2011;PlayStation 2;Konami;Nov  4, 2010;;;;;;7.1;1;1;0;0;Konami;;;;;;;https://www.metacritic.com/game/playstation-2/pro-evolution-soccer-2011
Dora's Big Birthday Adventure;PlayStation 2;Take-Two Interactive;Nov  2, 2010;;;;;;tbd;;;;;2K Play;;;;;;;https://www.metacritic.com/game/playstation-2/doras-big-birthday-adventure
Toy Story 3;PlayStation 2;Disney Interactive Studios;Nov  2, 2010;;;;;;7.5;5;4;1;0;Asobo Studio;;;;;;;https://www.metacritic.com/game/playstation-2/toy-story-3
WWE SmackDown vs. Raw 2011;PlayStation 2;THQ;Oct 26, 2010;;;;;;7.9;3;1;2;0;Yuke's;;;;;;;https://www.metacritic.com/game/playstation-2/wwe-smackdown-vs-raw-2011
NBA 2K11;PlayStation 2;2K Sports;Oct  5, 2010;;;;;;tbd;0;0;0;0;Visual Concepts;;;;;;;https://www.metacritic.com/game/playstation-2/nba-2k11
Ben 10 Ultimate Alien: Cosmic Destruction;PlayStation 2;D3Publisher;Oct  5, 2010;;;;;;tbd;0;0;0;0;Papaya Studios;;;;;;;https://www.metacritic.com/game/playstation-2/ben-10-ultimate-alien-cosmic-destruction
FIFA Soccer 11;PlayStation 2;Electronic Arts;Sep 28, 2010;;;;;;6.6;3;2;1;0;EA Sports;;;;;;;https://www.metacritic.com/game/playstation-2/fifa-soccer-11
Rapala Pro Bass Fishing 2010;PlayStation 2;Activision;Sep 28, 2010;;;;;;tbd;;;;;FUN Labs;;;;;;;https://www.metacritic.com/game/playstation-2/rapala-pro-bass-fishing-2010
The Lord of the Rings: Aragorn's Quest;PlayStation 2;Warner Bros. Interactive Entertainment;Sep 14, 2010;;;;;;tbd;;;;;TT Fusion;;;;;;;https://www.metacritic.com/game/playstation-2/the-lord-of-the-rings-aragorns-quest
Scooby-Doo! and the Spooky Swamp;PlayStation 2;Warner Bros. Interactive Entertainment;Sep 14, 2010;;;;;;7.8;0;0;0;0;Torus Games;;;;;;;https://www.metacritic.com/game/playstation-2/scooby-doo!-and-the-spooky-swamp
Cabela's North American Adventures;PlayStation 2;Activision;Sep 14, 2010;;;;;;tbd;1;1;0;0;FUN Labs;;;;;;;https://www.metacritic.com/game/playstation-2/cabelas-north-american-adventures
Madden NFL 11;PlayStation 2;Electronic Arts;Aug 10, 2010;;;;;;7.0;2;1;1;0;EA Tiburon;;;;;;;https://www.metacritic.com/game/playstation-2/madden-nfl-11
NCAA Football 11;PlayStation 2;Electronic Arts;Jul 13, 2010;;;;;;tbd;2;1;0;1;EA Tiburon;;;;;;;https://www.metacritic.com/game/playstation-2/ncaa-football-11
Despicable Me;PlayStation 2;D3;Jul  6, 2010;;;;;;7.6;1;0;0;1;D3;;;;;;;https://www.metacritic.com/game/playstation-2/despicable-me
