title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
Retro City Rampage DX;Playstation Portable;Vblank Entertainment Inc.;Jul 19, 2016;;;;;;tbd;1.0;1.0;0.0;0.0;Vblank Entertainment Inc.;;;;;;;https://www.metacritic.com/game/psp/retro-city-rampage-dx
Breath of Fire III;Playstation Portable;Capcom;Feb  9, 2016;;;;;;9.1;6.0;5.0;1.0;0.0;Capcom;;;;;;;https://www.metacritic.com/game/psp/breath-of-fire-iii
Summon Night 5;Playstation Portable;GAIJINWORKS;Dec 15, 2015;74.0;7.0;2.0;5.0;0.0;6.6;1.0;0.0;0.0;1.0;Felistella;;;;Keitaro Yoshida, Tomoaki Andō;Akira Kareno, Shiro Yamauchi;;https://www.metacritic.com/game/psp/summon-night-5
The Legend of Heroes: Trails in the Sky SC;Playstation Portable;XSEED Games;Oct 29, 2015;76.0;6.0;4.0;2.0;0.0;8.3;2.0;2.0;0.0;0.0;Falcom;Role-Playing, Console-style RPG, Console-style RPG, Japanese-Style;No Online Multiplayer;T;;;;https://www.metacritic.com/game/psp/the-legend-of-heroes-trails-in-the-sky-sc
Angus hates Aliens;Playstation Portable;Team Stendec;Jul 14, 2015;;;;;;tbd;1.0;0.0;1.0;0.0;Team Stendec;;;;;;;https://www.metacritic.com/game/psp/angus-hates-aliens
Brandish: The Dark Revenant;Playstation Portable;XSEED Games;Jan 13, 2015;78.0;9.0;7.0;2.0;0.0;8.3;2.0;2.0;0.0;0.0;Falcom;;;;;;;https://www.metacritic.com/game/psp/brandish-the-dark-revenant
Invizimals: The Lost Tribes;Playstation Portable;SCEA;Sep 23, 2014;;;;;;tbd;0.0;0.0;0.0;0.0;Novarama;;;;;;;https://www.metacritic.com/game/psp/invizimals-the-lost-tribes
End of Serenity;Playstation Portable;Natsume;Jun 24, 2014;;;;;;tbd;;;;;WorldWide Software;;;;;;;https://www.metacritic.com/game/psp/end-of-serenity
Pro Evolution Soccer 2014;Playstation Portable;Konami;Mar 10, 2014;;;;;;tbd;0.0;0.0;0.0;0.0;Konami;;;;;;;https://www.metacritic.com/game/psp/pro-evolution-soccer-2014
StreetKix: Freestyle;Playstation Portable;Hoplite Research;Jan  7, 2014;;;;;;tbd;;;;;Ilusis Interactive Graphics;;;;;;;https://www.metacritic.com/game/psp/streetkix-freestyle
Oddworld: Abe Boxx;Playstation Portable;SCEA;Nov 26, 2013;;;;;;tbd;0.0;0.0;0.0;0.0;Oddworld Inhabitants;;;;;;;https://www.metacritic.com/game/psp/oddworld-abe-boxx
FIFA 14;Playstation Portable;EA Sports;Sep 24, 2013;;;;;;3.4;4.0;2.0;1.0;1.0;EA Canada;;;;;;;https://www.metacritic.com/game/psp/fifa-14
Sweet Fuse: At Your Side;Playstation Portable;Aksys Games;Aug 27, 2013;;;;;;8.2;5.0;4.0;1.0;0.0;Idea Factory;;;;;;;https://www.metacritic.com/game/psp/sweet-fuse-at-your-side
Mystic Chronicles;Playstation Portable;Natsume;Jul 16, 2013;;;;;;tbd;0.0;0.0;0.0;0.0;Hit-Point Co., Ltd.;;;;;;;https://www.metacritic.com/game/psp/mystic-chronicles
Geronimo Stilton in the Kingdom of Fantasy;Playstation Portable;SCEA;Jul 16, 2013;;;;;;tbd;0.0;0.0;0.0;0.0;Virtual Toys;;;;;;;https://www.metacritic.com/game/psp/geronimo-stilton-in-the-kingdom-of-fantasy
Geronimo Stilton: Return to the Kingdom of Fantasy;Playstation Portable;SCEA;Jul 16, 2013;;;;;;tbd;0.0;0.0;0.0;0.0;Virtual Toys;;;;;;;https://www.metacritic.com/game/psp/geronimo-stilton-return-to-the-kingdom-of-fantasy
Class of Heroes 2;Playstation Portable;GAIJINWORKS;Jun  4, 2013;77.0;4.0;3.0;1.0;0.0;6.9;0.0;0.0;0.0;0.0;Zerodiv;;;;;;;https://www.metacritic.com/game/psp/class-of-heroes-2
T.A.C. Heroes: Big Red One;Playstation Portable;Hoplite Research;Apr 30, 2013;;;;;;tbd;0.0;0.0;0.0;0.0;Storm City Games;;;;;;;https://www.metacritic.com/game/psp/tac-heroes-big-red-one
Black Rock Shooter: The Game;Playstation Portable;NIS America;Apr 23, 2013;66.0;19.0;3.0;14.0;2.0;7.2;9.0;7.0;1.0;1.0;Image Epoch, Imageepoch;Action, General, General;1 Player;T;Kazuya Niinou;;;https://www.metacritic.com/game/psp/black-rock-shooter-the-game
Carnage Heart EXA;Playstation Portable;Natsume;Mar 19, 2013;;;;;;tbd;1.0;1.0;0.0;0.0;Artdink;;;;;;;https://www.metacritic.com/game/psp/carnage-heart-exa
Generation of Chaos: Pandora's Reflection;Playstation Portable;NIS America;Feb 19, 2013;70.0;4.0;2.0;2.0;0.0;7.7;2.0;2.0;0.0;0.0;Sting;;;;;;;https://www.metacritic.com/game/psp/generation-of-chaos-pandoras-reflection
Hakuoki: Warriors of the Shinsengumi;Playstation Portable;Aksys Games;Feb 19, 2013;;;;;;6.8;0.0;0.0;0.0;0.0;Zerodiv;;;;;;;https://www.metacritic.com/game/psp/hakuoki-warriors-of-the-shinsengumi
Corpse Party: Book of Shadows;Playstation Portable;XSEED Games;Jan 15, 2013;67.0;23.0;5.0;16.0;2.0;8.2;12.0;6.0;2.0;4.0;5pb;;;;;;;https://www.metacritic.com/game/psp/corpse-party-book-of-shadows
Hotel Mogul;Playstation Portable;Alawar Entertainment, Inc;Dec 18, 2012;;;;;;tbd;0.0;0.0;0.0;0.0;Alawar Entertainment, Inc, Alawar Entertainment;;;;;;;https://www.metacritic.com/game/psp/hotel-mogul
Phineas and Ferb: Across the 2nd Dimension;Playstation Portable;Disney Interactive Studios;Nov 27, 2012;;;;;;tbd;1.0;1.0;0.0;0.0;Virtual Toys;;;;;;;https://www.metacritic.com/game/psp/phineas-and-ferb-across-the-2nd-dimension
Jetpack Joyride;Playstation Portable;Beatshapers;Nov 20, 2012;;;;;;6.0;2.0;0.0;2.0;0.0;Halfbrick Studios;;;;;;;https://www.metacritic.com/game/psp/jetpack-joyride
Elminage Original;Playstation Portable;UFO Interactive;Nov 20, 2012;55.0;6.0;0.0;5.0;1.0;7.9;2.0;1.0;1.0;0.0;Starfish SD;;;;;;;https://www.metacritic.com/game/psp/elminage-original
Enchanted Cavern;Playstation Portable;Alawar Entertainment, Inc;Nov  6, 2012;;;;;;tbd;;;;;Alawar Entertainment, Inc, Alawar Entertainment;;;;;;;https://www.metacritic.com/game/psp/enchanted-cavern
Ragnarok Tactics;Playstation Portable;Aksys Games;Nov  6, 2012;65.0;4.0;0.0;4.0;0.0;7.6;1.0;1.0;0.0;0.0;ApolloSoft;;;;;;;https://www.metacritic.com/game/psp/ragnarok-tactics
Pro Evolution Soccer 2013;Playstation Portable;Konami;Nov  6, 2012;;;;;;tbd;1.0;1.0;0.0;0.0;Konami;;;;;;;https://www.metacritic.com/game/psp/pro-evolution-soccer-2013
I am an Air Traffic Controller Airport Hero Tokyo;Playstation Portable;Sonic Powered;Oct 30, 2012;;;;;;tbd;;;;;Sonic Powered;;;;;;;https://www.metacritic.com/game/psp/i-am-an-air-traffic-controller-airport-hero-tokyo
BreakQuest: Extra Evolution;Playstation Portable;Beatshapers;Oct 16, 2012;68.0;4.0;2.0;2.0;0.0;tbd;1.0;1.0;0.0;0.0;Beatshapers;;;;;;;https://www.metacritic.com/game/psp/breakquest-extra-evolution
NBA 2K13;Playstation Portable;2K Sports;Oct  2, 2012;;;;;;7.3;1.0;1.0;0.0;0.0;Virtuos;;;;;;;https://www.metacritic.com/game/psp/nba-2k13
FIFA Soccer 13;Playstation Portable;EA Sports;Sep 25, 2012;;;;;;3.2;2.0;1.0;0.0;1.0;Electronic Arts;;;;;;;https://www.metacritic.com/game/psp/fifa-soccer-13
Final Fantasy III;Playstation Portable;Square Enix;Sep 25, 2012;;;;;;8.6;1.0;1.0;0.0;0.0;Matrix Software;;;;;;;https://www.metacritic.com/game/psp/final-fantasy-iii
Feisty Feet;Playstation Portable;iSquared Games;Sep 18, 2012;;;;;;tbd;0.0;0.0;0.0;0.0;iSquared Games;;;;;;;https://www.metacritic.com/game/psp/feisty-feet
BounceBack;Playstation Portable;Sheffield Hallam University Enterprises Limited;Sep 12, 2012;;;;;;tbd;;;;;Steel Minions;;;;;;;https://www.metacritic.com/game/psp/bounceback
Ronnie O'Sullivan's Snooker;Playstation Portable;P1 Sports Ltd;Aug 28, 2012;;;;;;tbd;;;;;P1 Sports Ltd;;;;;;;https://www.metacritic.com/game/psp/ronnie-osullivans-snooker
Chopper I;Playstation Portable;SNK Playmore;Aug 21, 2012;;;;;;tbd;;;;;SNK Playmore;;;;;;;https://www.metacritic.com/game/psp/chopper-i
The Next Space;Playstation Portable;SNK Playmore;Aug 21, 2012;;;;;;tbd;;;;;SNK Playmore;;;;;;;https://www.metacritic.com/game/psp/the-next-space
Top Trumps NBA All Stars;Playstation Portable;Ideas Pad;Aug 21, 2012;;;;;;tbd;;;;;Ideas Pad;;;;;;;https://www.metacritic.com/game/psp/top-trumps-nba-all-stars
Farm Frenzy 3;Playstation Portable;Alawar Entertainment, Inc;Aug  7, 2012;;;;;;tbd;0.0;0.0;0.0;0.0;Alawar Entertainment, Inc, Alawar Entertainment;;;;;;;https://www.metacritic.com/game/psp/farm-frenzy-3
Growlanser: Wayfarer of Time;Playstation Portable;Atlus;Jul 31, 2012;67.0;14.0;5.0;9.0;0.0;7.5;8.0;8.0;0.0;0.0;Career Soft;;;;Taiji Hida, Shinjiro Takada;;Tomoyuki Hamada;https://www.metacritic.com/game/psp/growlanser-wayfarer-of-time
Wizorb;Playstation Portable;Beatshapers;Jul 24, 2012;79.0;9.0;7.0;2.0;0.0;5.8;1.0;1.0;0.0;0.0;Beatshapers;;;;;;;https://www.metacritic.com/game/psp/wizorb
Gang Wars;Playstation Portable;SNK Playmore;Jul 24, 2012;59.0;4.0;0.0;3.0;1.0;tbd;;;;;Alpha Denshi;;;;;;;https://www.metacritic.com/game/psp/gang-wars
Time Soldiers;Playstation Portable;SNK Playmore;Jul 24, 2012;;;;;;tbd;;;;;Alpha Denshi;;;;;;;https://www.metacritic.com/game/psp/time-soldiers
Arcade Pool;Playstation Portable;Icon Games Entertainment Ltd;Jul 10, 2012;;;;;;tbd;;;;;Icon Games Entertainment Ltd;;;;;;;https://www.metacritic.com/game/psp/arcade-pool
Unchained Blades;Playstation Portable;XSEED Games;Jun 26, 2012;61.0;8.0;2.0;4.0;2.0;7.5;3.0;3.0;0.0;0.0;FuRyu;;;;;;;https://www.metacritic.com/game/psp/unchained-blades
Farm Frenzy 2: Pizza Party;Playstation Portable;Alawar Entertainment, Inc;Jun 26, 2012;;;;;;tbd;;;;;Alawar Entertainment, Inc, Alawar Entertainment;;;;;;;https://www.metacritic.com/game/psp/farm-frenzy-2-pizza-party
Kaleidoscope;Playstation Portable;iSquared Games;Jun 19, 2012;;;;;;tbd;0.0;0.0;0.0;0.0;iSquared Games;;;;;;;https://www.metacritic.com/game/psp/kaleidoscope
Gungnir;Playstation Portable;Atlus;Jun 12, 2012;68.0;11.0;4.0;6.0;1.0;7.5;8.0;4.0;2.0;2.0;Sting;;;;;;;https://www.metacritic.com/game/psp/gungnir
Knight Fortix 2;Playstation Portable;Nemesys;May  8, 2012;;;;;;tbd;0.0;0.0;0.0;0.0;Nemesys;;;;;;;https://www.metacritic.com/game/psp/knight-fortix-2
Knight Fortix 2;Playstation Portable;Nemesys;May  8, 2012;;;;;;tbd;0.0;0.0;0.0;0.0;Nemesys;;;;;;;https://www.metacritic.com/game/psp/knight-fortix-2
Velocity;Playstation Portable;FuturLab;May  1, 2012;87.0;23.0;21.0;2.0;0.0;7.6;12.0;9.0;2.0;1.0;FuturLab;;;;;;;https://www.metacritic.com/game/psp/velocity
Floating Cloud God Saves the Pilgrims;Playstation Portable;Dakko Dakko;May  1, 2012;79.0;6.0;5.0;1.0;0.0;8.8;0.0;0.0;0.0;0.0;Dakko Dakko;;;;;;;https://www.metacritic.com/game/psp/floating-cloud-god-saves-the-pilgrims
Golf Mania;Playstation Portable;Icon Games;Apr 24, 2012;;;;;;tbd;;;;;Icon Games;;;;;;;https://www.metacritic.com/game/psp/golf-mania
