title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
Mages of Mystralia;Switch;Borealys Games;Jan 29, 2019;67;4;1;3;0;tbd;;;;;Borealys Games;;No Online Multiplayer;;;;;https://www.metacritic.com/game/switch/mages-of-mystralia
Sphinx and the Cursed Mummy;Switch;THQ Nordic;Jan 29, 2019;;;;;;tbd;;;;;Eurocom;;No Online Multiplayer;;;;;https://www.metacritic.com/game/switch/sphinx-and-the-cursed-mummy
Unworthy;Switch;Aleksandar Kuzmanovic Games;Jan 29, 2019;;;;;;tbd;;;;;Aleksandar Kuzmanovic Games;;No Online Multiplayer;;;;;https://www.metacritic.com/game/switch/unworthy
Inops;Switch;ZRZStudio;Jan 26, 2019;;;;;;tbd;1;1;0;0;ZRZStudio;Action, Platformer, 2D;No Online Multiplayer;E;;;;https://www.metacritic.com/game/switch/inops
Heroes Trials;Switch;Ratalaika Games;Jan 25, 2019;;;;;;tbd;;;;;Shinyuden;Action Adventure, Open-World;No Online Multiplayer;E10+;;;;https://www.metacritic.com/game/switch/heroes-trials
N.E.R.O.: Nothing Ever Remains Obscure;Switch;Storm in a Teacup;Jan 25, 2019;;;;;;tbd;;;;;Storm in a Teacup;Adventure, 3D, First-Person;No Online Multiplayer;E;;;;https://www.metacritic.com/game/switch/nero-nothing-ever-remains-obscure
Flowlines VS;Switch;Baltoro Games;Jan 25, 2019;;;;;;tbd;;;;;Baltoro Games;Puzzle, General;No Online Multiplayer;E;;;;https://www.metacritic.com/game/switch/flowlines-vs
Swords & Soldiers;Switch;Two Tribes;Jan 25, 2019;;;;;;tbd;;;;;Ronimo Games;Strategy, General;No Online Multiplayer;T;;;;https://www.metacritic.com/game/switch/swords-soldiers
Zombie Panic in Wonderland DX;Switch;Akaoni Studio;Jan 25, 2019;;;;;;tbd;1;0;0;1;Akaoni Studio;;No Online Multiplayer;;;;;https://www.metacritic.com/game/switch/zombie-panic-in-wonderland-dx
Mutant Football League: LA Power Pack;Switch;Digital Dreams Entertainment LLC;Jan 25, 2019;;;;;;tbd;;;;;Digital Dreams Entertainment LLC;;;;;;;https://www.metacritic.com/game/switch/mutant-football-league-la-power-pack
Pikuniku;Switch;Devolver Digital;Jan 24, 2019;77;26;18;8;0;7.8;4;3;1;0;Sectordub;Puzzle, Action;No Online Multiplayer;E;;;;https://www.metacritic.com/game/switch/pikuniku
Achtung! Cthulhu Tactics;Switch;Ripstone;Jan 24, 2019;;;;;;tbd;;;;;Auroch Digital;Strategy, Turn-Based, Tactics;No Online Multiplayer;T;;;;https://www.metacritic.com/game/switch/achtung!-cthulhu-tactics
Cursed Castilla;Switch;Abylight;Jan 24, 2019;;;;;;tbd;;;;;Locomalito;Action, Platformer, 2D;No Online Multiplayer;T;;;;https://www.metacritic.com/game/switch/cursed-castilla
JackQuest: The Tale of the Sword;Switch;Blowfish Studios;Jan 24, 2019;;;;;;tbd;;;;;NXgames;Action, Platformer, 2D;No Online Multiplayer;E;;;;https://www.metacritic.com/game/switch/jackquest-the-tale-of-the-sword
SMITE;Switch;Hi-Rez Studios;Jan 24, 2019;;;;;;tbd;;;;;Hi-Rez Studios;Strategy, Real-Time, MOBA;Up to 10;T;;;;https://www.metacritic.com/game/switch/smite
#KILLALLZOMBIES;Switch;SPL;Jan 24, 2019;;;;;;tbd;;;;;Beatshapers;Action, Shooter, Shoot-'Em-Up, Top-Down;No Online Multiplayer;M;;;;https://www.metacritic.com/game/switch/killallzombies
Doodle God: Evolution;Switch;JoyBits;Jan 24, 2019;;;;;;tbd;;;;;JoyBits;Puzzle, General;No Online Multiplayer;T;;;;https://www.metacritic.com/game/switch/doodle-god-evolution
Asdivine Hearts II;Switch;Kemco;Jan 24, 2019;;;;;;tbd;;;;;EXE Create;Role-Playing, Japanese-Style;No Online Multiplayer;E10+;;;;https://www.metacritic.com/game/switch/asdivine-hearts-ii
My Memory of Us;Switch;Crunching Koalas;Jan 24, 2019;80;5;3;2;0;tbd;0;0;0;0;Juggler Games / Crunching Koalas;Action, Platformer, 2D;No Online Multiplayer;E10+;;;;https://www.metacritic.com/game/switch/my-memory-of-us
LEGRAND LEGACY: Tale of the Fatebounds;Switch;Another Indie;Jan 24, 2019;63;4;0;3;1;tbd;0;0;0;0;Another Indie;Role-Playing, Japanese-Style;No Online Multiplayer;T;;;;https://www.metacritic.com/game/switch/legrand-legacy-tale-of-the-fatebounds
Bad Dream: Coma;Switch;Forever Entertainment;Jan 24, 2019;;;;;;tbd;;;;;Desert Fox;Adventure, Point-and-Click;No Online Multiplayer;M;;;;https://www.metacritic.com/game/switch/bad-dream-coma
Fishing Universe Simulator;Switch;Forever Entertainment;Jan 24, 2019;;;;;;tbd;;;;;Ultimate Games;Sports, Individual, Nature, Fishing;No Online Multiplayer;E;;;;https://www.metacritic.com/game/switch/fishing-universe-simulator
SmuggleCraft;Switch;Happy Badger Studio;Jan 24, 2019;;;;;;tbd;;;;;Happy Badger Studio;;Up to 8;;;;;https://www.metacritic.com/game/switch/smugglecraft
Arcade Archives: Bomb Jack;Switch;Hamster;Jan 24, 2019;;;;;;tbd;;;;;Elite;;No Online Multiplayer;;;;;https://www.metacritic.com/game/switch/arcade-archives-bomb-jack
Akihabara Crash! 123 Stage + 1;Switch;Dorasu;Jan 24, 2019;;;;;;tbd;;;;;Dorasu;;No Online Multiplayer;;;;;https://www.metacritic.com/game/switch/akihabara-crash!-123-stage-+-1
Forgotten Tales: Day of the Dead;Switch;Joindots;Jan 24, 2019;;;;;;tbd;;;;;Green Sauce Games;;No Online Multiplayer;;;;;https://www.metacritic.com/game/switch/forgotten-tales-day-of-the-dead
Perry Pig Jump;Switch;Entwickler-X;Jan 24, 2019;;;;;;tbd;;;;;Thomas Claus;;No Online Multiplayer;;;;;https://www.metacritic.com/game/switch/perry-pig-jump
Balance Blox;Switch;Entwickler-X;Jan 24, 2019;;;;;;tbd;;;;;Entwickler-X;;No Online Multiplayer;;;;;https://www.metacritic.com/game/switch/balance-blox
Monkey Wall;Switch;Cosen;Jan 24, 2019;;;;;;tbd;;;;;Cosen;;No Online Multiplayer;;;;;https://www.metacritic.com/game/switch/monkey-wall
Unruly Heroes;Switch;Magic Design Studios;Jan 23, 2019;;;;;;7.1;2;2;0;0;Magic Design Studios;Action, Platformer, 2D;Online Multiplayer;E10+;;;;https://www.metacritic.com/game/switch/unruly-heroes
When Ski Lifts Go Wrong;Switch;Curve Digital;Jan 23, 2019;;;;;;tbd;;;;;Huge Calf Studios;Sports, Individual, Ski / Snowboard;No Online Multiplayer;T;;;;https://www.metacritic.com/game/switch/when-ski-lifts-go-wrong
Goat Simulator: The GOATY;Switch;Coffee Stain Studios;Jan 23, 2019;;;;;;tbd;;;;;Coffee Stain Studios;Simulation, General;No Online Multiplayer;T;;;;https://www.metacritic.com/game/switch/goat-simulator-the-goaty
At Sundown: Shots in the Dark;Switch;Versus Evil;Jan 22, 2019;;;;;;tbd;;;;;Mild Beast Games;Action, Shooter, Shoot-'Em-Up, Top-Down;Online Multiplayer;E10+;;;;https://www.metacritic.com/game/switch/at-sundown-shots-in-the-dark
FutureGrind;Switch;Milkbag Games;Jan 22, 2019;;;;;;tbd;1;0;1;0;Milkbag Games;Sports, Individual, Skate / Skateboard;No Online Multiplayer;E10+;;;;https://www.metacritic.com/game/switch/futuregrind
The Raven Remastered;Switch;THQ Nordic;Jan 22, 2019;75;4;2;2;0;tbd;0;0;0;0;THQ Nordic;Adventure, Point-and-Click;No Online Multiplayer;T;;;;https://www.metacritic.com/game/switch/the-raven-remastered
IHUGU;Switch;Arts Alliance;Jan 21, 2019;;;;;;tbd;;;;;Arts Alliance;Action, Platformer, 2D;No Online Multiplayer;E;;;;https://www.metacritic.com/game/switch/ihugu
Color Zen Kids;Switch;Cypronia;Jan 21, 2019;;;;;;tbd;;;;;Cypronia;Puzzle, General;No Online Multiplayer;E;;;;https://www.metacritic.com/game/switch/color-zen-kids
UTOPIA 9 - A Volatile Vacation;Switch;Whalegun;Jan 19, 2019;;;;;;tbd;;;;;Whalegun;;No Online Multiplayer;;;;;https://www.metacritic.com/game/switch/utopia-9---a-volatile-vacation
Travis Strikes Again: No More Heroes;Switch;Nintendo;Jan 18, 2019;68;67;28;32;7;7.8;29;26;2;1;Grasshopper Manufacture;Action, Beat-'Em-Up, 3D;No Online Multiplayer;M;;;;https://www.metacritic.com/game/switch/travis-strikes-again-no-more-heroes
Fight of Gods;Switch;Digital Crafter;Jan 18, 2019;39;4;0;1;3;3.7;5;1;0;4;Digital Crafter;Action, Fighting, 3D;No Online Multiplayer;T;;;;https://www.metacritic.com/game/switch/fight-of-gods
Old School Racer 2;Switch;Riddlersoft Games;Jan 18, 2019;;;;;;tbd;;;;;Riddlersoft Games;Racing, Arcade, Automobile;No Online Multiplayer;E;;;;https://www.metacritic.com/game/switch/old-school-racer-2
Mars or Die!;Switch;34BigThings;Jan 18, 2019;;;;;;tbd;;;;;34BigThings;Strategy, Real-Time, Defense;No Online Multiplayer;E10+;;;;https://www.metacritic.com/game/switch/mars-or-die!
Cinderella: An Interactive Fairytale;Switch;Golden Orb;Jan 18, 2019;;;;;;tbd;;;;;Golden Orb;;No Online Multiplayer;;;;;https://www.metacritic.com/game/switch/cinderella-an-interactive-fairytale
