title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
Necrosphere Deluxe;PlayStation Vita;Unties;Jan 31, 2019;;;;;;tbd;;;;;Cat Nigiri;;;;;;;https://www.metacritic.com/game/playstation-vita/necrosphere-deluxe
NightCry;PlayStation Vita;Playism;Jan 31, 2019;;;;;;tbd;;;;;NUDE MAKER,Y.K.;;;;;;;https://www.metacritic.com/game/playstation-vita/nightcry
Drowning;PlayStation Vita;Sometimes You;Jan 30, 2019;;;;;;tbd;;;;;Polygonal Wolf;;No Online Multiplayer;;;;;https://www.metacritic.com/game/playstation-vita/drowning
Heroes Trials;PlayStation Vita;Shinyuden;Jan 22, 2019;;;;;;tbd;;;;;Shinyuden;;No Online Multiplayer;;;;;https://www.metacritic.com/game/playstation-vita/heroes-trials
Planet RIX-13;PlayStation Vita;Sometimes You;Jan 16, 2019;;;;;;tbd;;;;;Sometimes You;;No Online Multiplayer;;;;;https://www.metacritic.com/game/playstation-vita/planet-rix-13
Asdivine Hearts II;PlayStation Vita;Kemco;Jan 15, 2019;;;;;;tbd;;;;;Kemco;;No Online Multiplayer;;;;;https://www.metacritic.com/game/playstation-vita/asdivine-hearts-ii
Pic-a-Pix Pieces;PlayStation Vita;Lightwood Games;Jan  8, 2019;;;;;;tbd;;;;;Lightwood Games;;No Online Multiplayer;;;;;https://www.metacritic.com/game/playstation-vita/pic-a-pix-pieces
Atari Flashback Classics;PlayStation Vita;Atari SA;Dec 19, 2018;;;;;;tbd;;;;;AtGames;Miscellaneous, Compilation;No Online Multiplayer;E;;;;https://www.metacritic.com/game/playstation-vita/atari-flashback-classics
Persona 5: Dancing in Starlight;PlayStation Vita;Atlus Co.;Dec 18, 2018;;;;;;3.0;0;0;0;0;Atlus Co., Atlus;Action, Rhythm, Music;No Online Multiplayer;T;;;;https://www.metacritic.com/game/playstation-vita/persona-5-dancing-in-starlight
London Detective Mysteria;PlayStation Vita;XSEED Games;Dec 18, 2018;69;5;1;4;0;tbd;;;;;Karin Entertainment;;;;;;;https://www.metacritic.com/game/playstation-vita/london-detective-mysteria
Scintillatron 4096;PlayStation Vita;kFunction Ltd.;Dec 18, 2018;;;;;;tbd;;;;;kFunction Ltd.;;;;;;;https://www.metacritic.com/game/playstation-vita/scintillatron-4096
One Word By Powgi;PlayStation Vita;Lightwood Games;Dec 18, 2018;;;;;;tbd;;;;;Lightwood Games;;;;;;;https://www.metacritic.com/game/playstation-vita/one-word-by-powgi
