title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
Azure Snake;Wii U;RandomSpin;Jan 24, 2019;;;;;;tbd;;;;;RandomSpin;;No Online Multiplayer;;;;;https://www.metacritic.com/game/wii-u/azure-snake
Battle Princess Madelyn;Wii U;Causal Bit Games;Dec  6, 2018;;;;;;7.6;0;0;0;0;Causal Bit Games;;No Online Multiplayer;;;;;https://www.metacritic.com/game/wii-u/battle-princess-madelyn
Call of Nightmare;Wii U;RandomSpin;Dec  6, 2018;;;;;;tbd;;;;;Nightmare Games;;No Online Multiplayer;;;;;https://www.metacritic.com/game/wii-u/call-of-nightmare
Crush Insects;Wii U;RandomSpin;Nov 22, 2018;;;;;;tbd;;;;;38,9_Degrees;;No Online Multiplayer;;;;;https://www.metacritic.com/game/wii-u/crush-insects
Last Soldier;Wii U;RandomSpin;Nov 15, 2018;;;;;;tbd;;;;;38,9_Degrees;;No Online Multiplayer;;;;;https://www.metacritic.com/game/wii-u/last-soldier
Insect Planet TD;Wii U;RandomSpin;Oct 25, 2018;;;;;;tbd;;;;;RandomSpin;;No Online Multiplayer;;;;;https://www.metacritic.com/game/wii-u/insect-planet-td
Just Dance 2019;Wii U;Ubisoft;Oct 23, 2018;;;;;;tbd;0;0;0;0;Ubisoft Paris;Action, Rhythm, Dancing;No Online Multiplayer;E;;;;https://www.metacritic.com/game/wii-u/just-dance-2019
Petite Zombies;Wii U;RandomSpin;Oct 11, 2018;;;;;;tbd;;;;;RandomSpin;;No Online Multiplayer;;;;;https://www.metacritic.com/game/wii-u/petite-zombies
Forest Escape;Wii U;RandomSpin;Aug  2, 2018;;;;;;tbd;;;;;RandomSpin;Action Adventure, Survival;No Online Multiplayer;T;;;;https://www.metacritic.com/game/wii-u/forest-escape
Masked Forces;Wii U;R.G.B. SRL;May 31, 2018;;;;;;tbd;;;;;R.G.B. SRL;Action, Shooter, First-Person, Tactical;No Online Multiplayer;M;;;;https://www.metacritic.com/game/wii-u/masked-forces
Cycle of Eternity: Space Anomaly;Wii U;RandomSpin;May 24, 2018;;;;;;tbd;;;;;RandomSpin;Simulation, Space, Combat;No Online Multiplayer;E;;;;https://www.metacritic.com/game/wii-u/cycle-of-eternity-space-anomaly
