title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
Madden NFL 09;Xbox;Electronic Arts;Aug 12, 2008;;;;;;5.5;0.0;0.0;0.0;0.0;EA Tiburon;;;;;;;https://www.metacritic.com/game/xbox/madden-nfl-09
Madden NFL 08;Xbox;EA Sports;Aug 14, 2007;76.0;6.0;4.0;2.0;0.0;6.8;3.0;1.0;1.0;1.0;EA Tiburon;Sports, Traditional, Football, Sim;2  Online;E;;;;https://www.metacritic.com/game/xbox/madden-nfl-08
NCAA Football 08;Xbox;EA Sports;Jul 17, 2007;82.0;4.0;4.0;0.0;0.0;8.1;2.0;2.0;0.0;0.0;EA Sports;Sports, Traditional, Football, Sim;8  Online;E;;;;https://www.metacritic.com/game/xbox/ncaa-football-08
Ratatouille;Xbox;THQ;Jun 26, 2007;;;;;;tbd;1.0;1.0;0.0;0.0;Asobo Studio;Action, Platformer, 3D;1-4;E;;;;https://www.metacritic.com/game/xbox/ratatouille
Major League Baseball 2K7;Xbox;2K Sports;Feb 27, 2007;71.0;5.0;2.0;3.0;0.0;7.0;1.0;1.0;0.0;0.0;Kush Games;Sports, Traditional, Baseball, Sim;2  Online;E;;;;https://www.metacritic.com/game/xbox/major-league-baseball-2k7
Capcom Classics Collection Vol. 2;Xbox;Capcom;Nov 24, 2006;72.0;15.0;7.0;8.0;0.0;8.3;2.0;2.0;0.0;0.0;Digital Eclipse;Miscellaneous, Compilation;1-4;T;;;;https://www.metacritic.com/game/xbox/capcom-classics-collection-vol-2
Thrillville;Xbox;LucasArts;Nov 21, 2006;71.0;16.0;10.0;5.0;1.0;1.7;3.0;0.0;2.0;1.0;Frontier Developments;Strategy, General;1-4;E10+;;;;https://www.metacritic.com/game/xbox/thrillville
Bass Pro Shops: Trophy Bass 2007;Xbox;Vivendi Games;Nov 21, 2006;;;;;;tbd;;;;;Big John Games;Sports, Nature, Fishing;1-2;E;;;;https://www.metacritic.com/game/xbox/bass-pro-shops-trophy-bass-2007
College Hoops 2K7;Xbox;2K Sports;Nov 20, 2006;73.0;7.0;2.0;5.0;0.0;7.5;3.0;1.0;1.0;1.0;2K Sports;Sports, Traditional, Basketball, Sim;2  Online;E;;;;https://www.metacritic.com/game/xbox/college-hoops-2k7
Superman Returns;Xbox;EA Games;Nov 20, 2006;51.0;16.0;0.0;9.0;7.0;7.4;1.0;1.0;0.0;0.0;EA Tiburon;Action, Beat-'Em-Up;1 Player;T;;;;https://www.metacritic.com/game/xbox/superman-returns
Bass Pro Shops: Trophy Hunter 2007;Xbox;Vivendi Games;Nov 20, 2006;;;;;;tbd;0.0;0.0;0.0;0.0;Jarhead Games;;;;;;;https://www.metacritic.com/game/xbox/bass-pro-shops-trophy-hunter-2007
Xiaolin Showdown;Xbox;Konami;Nov 15, 2006;40.0;10.0;0.0;1.0;9.0;tbd;1.0;1.0;0.0;0.0;BottleRocket Entertainment;Action, Beat-'Em-Up;1-4;E10+;;;;https://www.metacritic.com/game/xbox/xiaolin-showdown
Eragon;Xbox;Sierra Entertainment;Nov 14, 2006;49.0;20.0;1.0;10.0;9.0;tbd;1.0;1.0;0.0;0.0;Stormfront Studios;Action Adventure, Fantasy;1-2;T;;;;https://www.metacritic.com/game/xbox/eragon
Dance Dance Revolution Ultramix 4;Xbox;Konami;Nov 14, 2006;76.0;5.0;4.0;1.0;0.0;7.4;1.0;1.0;0.0;0.0;Konami;Miscellaneous, Rhythm, Dancing;4  Online;E10+;;;;https://www.metacritic.com/game/xbox/dance-dance-revolution-ultramix-4
Teen Titans;Xbox;THQ;Nov 13, 2006;63.0;4.0;0.0;4.0;0.0;tbd;0.0;0.0;0.0;0.0;Artificial Mind and Movement;Action Adventure, Modern;1-4;E10+;;;;https://www.metacritic.com/game/xbox/teen-titans
Call of Duty 3;Xbox;Activision;Nov  7, 2006;83.0;12.0;9.0;3.0;0.0;7.3;8.0;6.0;2.0;0.0;Treyarch;Action, Shooter, First-Person, Historic;16  Online;T;;;;https://www.metacritic.com/game/xbox/call-of-duty-3
Tony Hawk's Project 8;Xbox;Activision;Nov  7, 2006;67.0;11.0;3.0;8.0;0.0;6.0;2.0;0.0;1.0;1.0;Shaba Games;Sports, Alternative, Skateboarding;1-2;T;;;;https://www.metacritic.com/game/xbox/tony-hawks-project-8
Need for Speed Carbon;Xbox;EA Games;Oct 31, 2006;74.0;19.0;8.0;11.0;0.0;7.1;2.0;1.0;1.0;0.0;EA Canada;Driving, Racing, GT / Street;1-2;E10+;;;;https://www.metacritic.com/game/xbox/need-for-speed-carbon
Reservoir Dogs;Xbox;Eidos Interactive;Oct 24, 2006;50.0;29.0;1.0;17.0;11.0;tbd;0.0;0.0;0.0;0.0;Volatile Games;Action Adventure, Modern;1 Player;M;;;;https://www.metacritic.com/game/xbox/reservoir-dogs
Tom Clancy's Splinter Cell Double Agent;Xbox;Ubisoft;Oct 24, 2006;89.0;13.0;13.0;0.0;0.0;8.1;10.0;9.0;0.0;1.0;Ubisoft Shanghai;Action Adventure, Modern;6  Online;M;;;;https://www.metacritic.com/game/xbox/tom-clancys-splinter-cell-double-agent
