title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
Just Dance 2019;Xbox 360;Ubisoft;Oct 23, 2018;;;;;;4.8;0;0;0;0;Ubisoft Paris;Action, Rhythm, Dancing;No Online Multiplayer;E;;;;https://www.metacritic.com/game/xbox-360/just-dance-2019
FIFA 19;Xbox 360;EA Sports;Sep 28, 2018;;;;;;1.3;3;0;0;3;EA Canada;Sports, Team, Soccer, Sim;Up to 22;E;;;;https://www.metacritic.com/game/xbox-360/fifa-19
World of Tanks: Mercenaries;Xbox 360;Wargaming.net;Jun 26, 2018;;;;;;tbd;0;0;0;0;Wargaming.net;;Online Multiplayer;;;;;https://www.metacritic.com/game/xbox-360/world-of-tanks-mercenaries
Star Wars: Battlefront II;Xbox 360;LucasArts;Apr 26, 2018;;;;;;7.8;2;1;1;0;Pandemic Studios;;;;;;;https://www.metacritic.com/game/xbox-360/star-wars-battlefront-ii
Destroy All Humans!;Xbox 360;THQ Nordic;Apr 26, 2018;;;;;;tbd;;;;;THQ Nordic;;;;;;;https://www.metacritic.com/game/xbox-360/destroy-all-humans!
Panzer Elite Action: Fields of Glory;Xbox 360;THQ Nordic;Apr 26, 2018;;;;;;tbd;0;0;0;0;THQ Nordic;;;;;;;https://www.metacritic.com/game/xbox-360/panzer-elite-action-fields-of-glory
MX Unleashed;Xbox 360;THQ Nordic;Apr 23, 2018;;;;;;tbd;;;;;Rainbow Studios;;;;;;;https://www.metacritic.com/game/xbox-360/mx-unleashed
Mercenaries: Playground of Destruction;Xbox 360;LucasArts;Apr 23, 2018;;;;;;tbd;;;;;Pandemic Studios;;;;;;;https://www.metacritic.com/game/xbox-360/mercenaries-playground-of-destruction
Star Wars Jedi Knight: Jedi Academy;Xbox 360;LucasArts;Apr 23, 2018;;;;;;tbd;0;0;0;0;Raven Software;;;;;;;https://www.metacritic.com/game/xbox-360/star-wars-jedi-knight-jedi-academy
Star Wars: Jedi Starfighter;Xbox 360;LucasArts;Apr 23, 2018;;;;;;tbd;0;0;0;0;Secret Level;;;;;;;https://www.metacritic.com/game/xbox-360/star-wars-jedi-starfighter
Star Wars Republic Commando;Xbox 360;LucasArts;Apr 23, 2018;;;;;;tbd;;;;;LucasArts;;;;;;;https://www.metacritic.com/game/xbox-360/star-wars-republic-commando
Star Wars: Knights of the Old Republic II - The Sith Lords;Xbox 360;LucasArts;Apr 23, 2018;;;;;;tbd;0;0;0;0;Obsidian Entertainment;;;;;;;https://www.metacritic.com/game/xbox-360/star-wars-knights-of-the-old-republic-ii---the-sith-lords
