title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
Resident Evil 2;PlayStation 4;Capcom;Jan 25, 2019;91;66;65;1;0;9.2;72;66;2;4;Capcom R&D Division 1;Action Adventure, Survival;No Online Multiplayer;M;;;;https://www.metacritic.com/game/playstation-4/resident-evil-2
JackQuest: The Tale of the Sword;PlayStation 4;Blowfish Studios;Jan 24, 2019;;;;;;tbd;;;;;NXgames;;No Online Multiplayer;;;;;https://www.metacritic.com/game/playstation-4/jackquest-the-tale-of-the-sword
Life is Strange 2: Episode 2 - Rules;PlayStation 4;Square Enix;Jan 24, 2019;76;12;9;3;0;3.5;2;0;0;2;DONTNOD Entertainment;;No Online Multiplayer;;;;;https://www.metacritic.com/game/playstation-4/life-is-strange-2-episode-2---rules
Realm Royale;PlayStation 4;Hi-Rez Studios;Jan 23, 2019;;;;;;tbd;;;;;Hi-Rez Studios;Action Adventure, Survival;Up to more than 64;T;;;;https://www.metacritic.com/game/playstation-4/realm-royale
Kingdom Hearts: VR Experience;PlayStation 4;Square Enix;Jan 23, 2019;;;;;;tbd;0;0;0;0;Square Enix, Sony Interactive Entertainment;;No Online Multiplayer;;;;;https://www.metacritic.com/game/playstation-4/kingdom-hearts-vr-experience
FutureGrind;PlayStation 4;Milkbag Games;Jan 22, 2019;;;;;;tbd;;;;;Milkbag Games;;No Online Multiplayer;;;;;https://www.metacritic.com/game/playstation-4/futuregrind
At Sundown: Shots in the Dark;PlayStation 4;Versus Evil;Jan 22, 2019;;;;;;tbd;;;;;Mild Beast Games;Action, Shooter, Shoot-'Em-Up, Top-Down;Online Multiplayer;T;;;;https://www.metacritic.com/game/playstation-4/at-sundown-shots-in-the-dark
ACA NeoGeo: Blazing Star;PlayStation 4;Hamster;Jan 22, 2019;;;;;;tbd;;;;;Yumekobo;Action, Shooter, Shoot-'Em-Up, Horizontal;No Online Multiplayer;E10+;;;;https://www.metacritic.com/game/playstation-4/aca-neogeo-blazing-star
Senran Kagura Burst Re:Newal;PlayStation 4;XSEED Games;Jan 22, 2019;68;11;4;6;1;tbd;0;0;0;0;Honey Parade Games;Action, Beat-'Em-Up, 2D;No Online Multiplayer;M;;;;https://www.metacritic.com/game/playstation-4/senran-kagura-burst-renewal
A Fisherman's Tale;PlayStation 4;Vertigo Games;Jan 22, 2019;71;8;2;6;0;tbd;0;0;0;0;Innerspace VR;;No Online Multiplayer;;;;;https://www.metacritic.com/game/playstation-4/a-fishermans-tale
Shadow of the Tomb Raider: The Nightmare;PlayStation 4;Square Enix;Jan 22, 2019;;;;;;tbd;0;0;0;0;Eidos Montreal;;;;;;;https://www.metacritic.com/game/playstation-4/shadow-of-the-tomb-raider-the-nightmare
Wandersong;PlayStation 4;Dumb and Fat Games;Jan 22, 2019;79;5;4;1;0;tbd;;;;;Dumb and Fat Games;;No Online Multiplayer;;;;;https://www.metacritic.com/game/playstation-4/wandersong
Heroes Trials;PlayStation 4;Shinyuden;Jan 22, 2019;;;;;;tbd;;;;;Shinyuden;;No Online Multiplayer;;;;;https://www.metacritic.com/game/playstation-4/heroes-trials
Hitman 2: Snow Festival;PlayStation 4;Io Interactive;Jan 22, 2019;;;;;;tbd;0;0;0;0;Io Interactive;;;;;;;https://www.metacritic.com/game/playstation-4/hitman-2-snow-festival
Ace Combat 7: Skies Unknown;PlayStation 4;Bandai Namco Games;Jan 18, 2019;81;49;42;7;0;8.4;33;27;6;0;Project Aces;Simulation, Flight, Combat;Up to 8;T;;;;https://www.metacritic.com/game/playstation-4/ace-combat-7-skies-unknown
ACA NeoGeo: The King of Fighters '99;PlayStation 4;Hamster;Jan 18, 2019;;;;;;tbd;;;;;SNK;Action, Fighting, 2D;No Online Multiplayer;T;;;;https://www.metacritic.com/game/playstation-4/aca-neogeo-the-king-of-fighters-99
Sword Art Online: Fatal Bullet - Dissonance of the Nexus;PlayStation 4;Bandai Namco Games;Jan 18, 2019;;;;;;tbd;;;;;Dimps Corporation;;;;;;;https://www.metacritic.com/game/playstation-4/sword-art-online-fatal-bullet---dissonance-of-the-nexus
Sword Art Online: Fatal Bullet - Complete Edition;PlayStation 4;Bandai Namco Games;Jan 18, 2019;;;;;;tbd;;;;;Dimps Corporation;;Up to 8;;;;;https://www.metacritic.com/game/playstation-4/sword-art-online-fatal-bullet---complete-edition
YIIK: A Postmodern RPG;PlayStation 4;Ackkstudios;Jan 17, 2019;54;6;1;3;2;tbd;2;1;0;1;Ackkstudios;Role-Playing, Japanese-Style;No Online Multiplayer;M;;;;https://www.metacritic.com/game/playstation-4/yiik-a-postmodern-rpg
Eden-Tomorrow;PlayStation 4;Soul Pix;Jan 17, 2019;;;;;;tbd;;;;;Soul Pix;Action Adventure, General;No Online Multiplayer;T;;;;https://www.metacritic.com/game/playstation-4/eden-tomorrow
Kingdom of Blades;PlayStation 4;Vive Studios;Jan 17, 2019;;;;;;tbd;;;;;Chesstar Studios;;No Online Multiplayer;;;;;https://www.metacritic.com/game/playstation-4/kingdom-of-blades
Planet RIX-13;PlayStation 4;9 Eyes Game Studio;Jan 16, 2019;;;;;;tbd;0;0;0;0;9 Eyes Game Studio;;No Online Multiplayer;;;;;https://www.metacritic.com/game/playstation-4/planet-rix-13
PlayStation VR Demo Disc 3;PlayStation 4;Sony Interactive Entertainment;Jan 16, 2019;;;;;;tbd;;;;;Sony Interactive Entertainment;;No Online Multiplayer;;;;;https://www.metacritic.com/game/playstation-4/playstation-vr-demo-disc-3
Vane;PlayStation 4;Friend & Foe;Jan 15, 2019;52;35;3;18;14;5.4;4;1;2;1;Friend & Foe;Adventure, General;No Online Multiplayer;E10+;;;;https://www.metacritic.com/game/playstation-4/vane
Smoke and Sacrifice;PlayStation 4;Curve Digital;Jan 15, 2019;69;8;2;6;0;tbd;;;;;Solar Sail Games;Action Adventure, General;No Online Multiplayer;E10+;;;;https://www.metacritic.com/game/playstation-4/smoke-and-sacrifice
Holy Potatoes! We're in Space?!;PlayStation 4;Rising Star Games;Jan 15, 2019;;;;;;tbd;;;;;Daylight Studios;Simulation, Space, Combat;No Online Multiplayer;E;;;;https://www.metacritic.com/game/playstation-4/holy-potatoes!-were-in-space!
The Walking Dead: The Telltale Series - The Final Season Episode 3: Broken Toys;PlayStation 4;Telltale Games;Jan 15, 2019;77;5;3;2;0;6.9;5;5;0;0;Telltale Games, Skybound Games;;No Online Multiplayer;;;;;https://www.metacritic.com/game/playstation-4/the-walking-dead-the-telltale-series---the-final-season-episode-3-broken-toys
The Grand Tour Game;PlayStation 4;Amazon Game Studios;Jan 15, 2019;;;;;;5.6;3;3;0;0;Amazon Game Studios;Racing, Arcade, Automobile;No Online Multiplayer;T;;;;https://www.metacritic.com/game/playstation-4/the-grand-tour-game
Onimusha: Warlords;PlayStation 4;Capcom;Jan 15, 2019;74;20;13;6;1;5.1;9;7;2;0;Capcom, NeoBards Entertainment;Action Adventure, General;No Online Multiplayer;M;;;;https://www.metacritic.com/game/playstation-4/onimusha-warlords
Asdivine Hearts II;PlayStation 4;Kemco;Jan 15, 2019;;;;;;tbd;;;;;Kemco;;No Online Multiplayer;;;;;https://www.metacritic.com/game/playstation-4/asdivine-hearts-ii
