title;platform;publisher;release_date;critic_score;critic_count;critic_positive;critic_mixed;critic_negative;user_score;user_count;user_positive;user_mixed;user_negative;developer;genre;players;rating;director;writer;composer;url
Resident Evil 2;Xbox One;Capcom;Jan 25, 2019;91;19;18;1;0;9.0;18;16;1;1;Capcom R&D Division 1;Action Adventure, Survival;No Online Multiplayer;M;;;;https://www.metacritic.com/game/xbox-one/resident-evil-2
Steamroll;Xbox One;Anticto;Jan 25, 2019;;;;;;tbd;;;;;Anticto;Action, Platformer, 3D;No Online Multiplayer;T;;;;https://www.metacritic.com/game/xbox-one/steamroll
JackQuest: The Tale of the Sword;Xbox One;Blowfish Studios;Jan 24, 2019;;;;;;tbd;;;;;NXgames;;No Online Multiplayer;;;;;https://www.metacritic.com/game/xbox-one/jackquest-the-tale-of-the-sword
Life is Strange 2: Episode 2 - Rules;Xbox One;Square Enix;Jan 24, 2019;;;;;;tbd;0;0;0;0;DONTNOD Entertainment;;No Online Multiplayer;;;;;https://www.metacritic.com/game/xbox-one/life-is-strange-2-episode-2---rules
Unruly Heroes;Xbox One;Magic Design Studios;Jan 23, 2019;;;;;;tbd;0;0;0;0;Magic Design Studios;;Online Multiplayer;;;;;https://www.metacritic.com/game/xbox-one/unruly-heroes
Gang Beasts;Xbox One;Double Fine Productions;Jan 23, 2019;;;;;;tbd;;;;;Boneloaf;Miscellaneous, Party / Minigame;Online Multiplayer;E10+;;;;https://www.metacritic.com/game/xbox-one/gang-beasts
The Walking Vegetables: Radical Edition;Xbox One;Merge Games;Jan 23, 2019;;;;;;tbd;;;;;Still Running;;No Online Multiplayer;;;;;https://www.metacritic.com/game/xbox-one/the-walking-vegetables-radical-edition
Heroes Trials;Xbox One;Ratalaika Games;Jan 23, 2019;;;;;;tbd;1;0;1;0;Ratalaika Games;;No Online Multiplayer;;;;;https://www.metacritic.com/game/xbox-one/heroes-trials
Realm Royale;Xbox One;Hi-Rez Studios;Jan 22, 2019;;;;;;tbd;;;;;Hi-Rez Studios;Action Adventure, Survival;Up to more than 64;T;;;;https://www.metacritic.com/game/xbox-one/realm-royale
At Sundown: Shots in the Dark;Xbox One;Versus Evil;Jan 22, 2019;;;;;;tbd;1;0;1;0;Mild Beast Games;Action, Shooter, Shoot-'Em-Up, Top-Down;Up to 4;T;;;;https://www.metacritic.com/game/xbox-one/at-sundown-shots-in-the-dark
Shadow of the Tomb Raider: The Nightmare;Xbox One;Square Enix;Jan 22, 2019;;;;;;tbd;;;;;Eidos Montreal;;;;;;;https://www.metacritic.com/game/xbox-one/shadow-of-the-tomb-raider-the-nightmare
Hitman 2: Snow Festival;Xbox One;Warner Bros. Interactive Entertainment;Jan 22, 2019;;;;;;tbd;0;0;0;0;Warner Bros. Interactive Entertainment;;;;;;;https://www.metacritic.com/game/xbox-one/hitman-2-snow-festival
Farm Together;Xbox One;Milkstone Studios;Jan 19, 2019;;;;;;tbd;1;1;0;0;Milkstone Studios;Action, General;Up to 16;E;;;;https://www.metacritic.com/game/xbox-one/farm-together
Ace Combat 7: Skies Unknown;Xbox One;Bandai Namco Games;Jan 18, 2019;81;11;9;2;0;7.5;7;5;1;1;Bandai Namco Games;Simulation, Flight, Combat;Up to 8;T;;;;https://www.metacritic.com/game/xbox-one/ace-combat-7-skies-unknown
Sword Art Online: Fatal Bullet - Dissonance of the Nexus;Xbox One;Bandai Namco Games;Jan 18, 2019;;;;;;tbd;;;;;Dimps Corporation;;;;;;;https://www.metacritic.com/game/xbox-one/sword-art-online-fatal-bullet---dissonance-of-the-nexus
Guacamelee! 2;Xbox One;DrinkBox Studios;Jan 18, 2019;;;;;;tbd;;;;;DrinkBox Studios;;Up to 4;;;;;https://www.metacritic.com/game/xbox-one/guacamelee!-2
Guacamelee! 2: The Proving Ground;Xbox One;DrinkBox Studios;Jan 18, 2019;86;4;4;0;0;tbd;1;1;0;0;DrinkBox Studios;;;;;;;https://www.metacritic.com/game/xbox-one/guacamelee!-2-the-proving-ground
Mulletman and the Molemen;Xbox One;Total Commitment Games;Jan 18, 2019;;;;;;tbd;1;0;1;0;Stevemata;Action, Platformer, 2D;No Online Multiplayer;E10+;;;;https://www.metacritic.com/game/xbox-one/mulletman-and-the-molemen
Sword Art Online: Fatal Bullet - Complete Edition;Xbox One;Bandai Namco Games;Jan 18, 2019;;;;;;tbd;;;;;Dimps Corporation;;Up to 8;;;;;https://www.metacritic.com/game/xbox-one/sword-art-online-fatal-bullet---complete-edition
Alvastia Chronicles;Xbox One;Kemco;Jan 17, 2019;;;;;;tbd;1;1;0;0;Kemco;;No Online Multiplayer;;;;;https://www.metacritic.com/game/xbox-one/alvastia-chronicles
ACA NeoGeo: Ninja Masters;Xbox One;Hamster;Jan 17, 2019;;;;;;tbd;;;;;ADK;Action, Fighting, 2D;No Online Multiplayer;T;;;;https://www.metacritic.com/game/xbox-one/aca-neogeo-ninja-masters
Planet RIX-13;Xbox One;Sometimes You;Jan 16, 2019;;;;;;tbd;1;0;1;0;Sometimes You;Adventure, General;No Online Multiplayer;E10+;;;;https://www.metacritic.com/game/xbox-one/planet-rix-13
Smoke and Sacrifice;Xbox One;Curve Digital;Jan 15, 2019;;;;;;tbd;1;1;0;0;Solar Sail Games;Action Adventure, General;No Online Multiplayer;E10+;;;;https://www.metacritic.com/game/xbox-one/smoke-and-sacrifice
The Walking Dead: The Telltale Series - The Final Season Episode 3: Broken Toys;Xbox One;Telltale Games;Jan 15, 2019;;;;;;tbd;0;0;0;0;Telltale Games, Skybound Games;;No Online Multiplayer;;;;;https://www.metacritic.com/game/xbox-one/the-walking-dead-the-telltale-series---the-final-season-episode-3-broken-toys
The Grand Tour Game;Xbox One;Amazon Game Studios;Jan 15, 2019;;;;;;8.0;3;3;0;0;Amazon Game Studios;Racing, Arcade, Automobile;No Online Multiplayer;T;;;;https://www.metacritic.com/game/xbox-one/the-grand-tour-game
Onimusha: Warlords;Xbox One;Capcom;Jan 15, 2019;77;13;8;5;0;4.0;5;2;2;1;Capcom, NeoBards Entertainment;Action Adventure, General;No Online Multiplayer;M;;;;https://www.metacritic.com/game/xbox-one/onimusha-warlords
Assassin's Creed Odyssey: Story Arc 1 - Legacy of the First Blade: Episode 2;Xbox One;Ubisoft;Jan 15, 2019;;;;;;tbd;0;0;0;0;Ubisoft;;;;;;;https://www.metacritic.com/game/xbox-one/assassins-creed-odyssey-story-arc-1---legacy-of-the-first-blade-episode-2
Tales of Vesperia: Definitive Edition;Xbox One;Bandai Namco Games;Jan 11, 2019;80;7;6;1;0;9.0;1;1;0;0;Bandai Namco Games;Role-Playing, Action RPG;Online Multiplayer;T;;;;https://www.metacritic.com/game/xbox-one/tales-of-vesperia-definitive-edition
Hitman HD Enhanced Collection;Xbox One;Warner Bros. Interactive Entertainment;Jan 11, 2019;64;5;0;5;0;4.4;3;0;2;1;IO Entertainment;Miscellaneous, Compilation;No Online Multiplayer;M;;;;https://www.metacritic.com/game/xbox-one/hitman-hd-enhanced-collection
